x y
10 1.9883e-05
100 1.2798e-05
1000 4.0385e-05
10000 0.0003582
11000 0.000332988
12000 0.000303383
13000 0.000229339
14000 0.00022946
15000 0.000255019
16000 0.000272535
17000 0.000305597
18000 0.000326992
19000 0.000337769
20000 0.000360907
21000 0.00037552
22000 0.000392634
23000 0.000421516
24000 0.0004405
25000 0.000447675
26000 0.000468981
27000 0.000483671
28000 0.000552741
29000 0.000529023
30000 0.000559679
31000 0.000583295
32000 0.000593123
33000 0.000733023
34000 0.00078444
35000 0.000783326
36000 0.000817272
37000 0.000817191
38000 0.000867188
39000 0.000874267
40000 0.000940511
41000 0.000954811
42000 0.00121475
43000 0.000867835
44000 0.00102403
45000 0.00105108
46000 0.00104086
47000 0.00109789
48000 0.0011025
49000 0.00116205
50000 0.00112972
51000 0.00122405
52000 0.00118857
53000 0.00127397
54000 0.00125582
55000 0.00131389
56000 0.00130255
57000 0.0013696
58000 0.00134284
59000 0.00144249
60000 0.00140191
61000 0.00169614
62000 0.00148265
63000 0.00155584
64000 0.00153168
65000 0.00159619
66000 0.00163807
67000 0.00171973
68000 0.0016987
69000 0.00178965
70000 0.00177008
71000 0.00184018
72000 0.00181979
73000 0.00188388
74000 0.0018977
75000 0.00216701
76000 0.00192594
77000 0.00202328
78000 0.00197333
79000 0.00211753
80000 0.00211308
81000 0.00216263
82000 0.00212932
83000 0.00226116
84000 0.00221635
85000 0.00225284
86000 0.0020045
87000 0.00231673
88000 0.00236348
89000 0.00236893
90000 0.00254268
91000 0.00242469
92000 0.00248488
93000 0.00245927
94000 0.00254075
95000 0.00253461
96000 0.00260603
97000 0.00260212
98000 0.0027065
99000 0.00264667
100000 0.00275511
